designator,x (mm),y (mm),rotation (deg),side,package
C1,85.34, 5.08, 90,top,C0402
C2,99.31,27.94, 90,top,C0402
C3,18.03,34.80, 90,top,C0402
C4,102.11,29.46, 90,top,C0603
C5,103.38,29.72, 90,top,C0402
C6,35.05,34.80,270,top,C0402
C7,36.07,34.80,270,top,C0402
C8,105.16, 9.14,270,top,C0402
C9,24.64,35.31, 90,top,C0402
C10,23.62,35.31, 90,top,C0402
C11,57.66, 7.11, 90,top,C0603
C12,55.12, 6.35,  0,top,C0603
C13,86.36,16.00, 90,top,C0402
C14,54.36,11.68,  0,top,C0402
C15,62.99,10.41,270,top,C0402
C16,68.83, 8.38,270,top,C0603
C17,69.34,16.00,270,top,C0402
C18,35.56, 5.84,270,top,C0603
C19,101.60, 5.84,270,top,C0603
C20,49.78,25.40, 90,top,C0402
C21,54.10,18.03,  0,top,C0402
C22,52.07,13.46,180,top,C0603
C23,44.45,25.91,180,top,C0603
C24,51.31,15.24,270,top,C0402
C25,52.58,15.24,270,top,C0402
C26,44.45,22.86,  0,top,C0603
C27,46.23,21.34, 90,top,C0402
C28,47.24,15.24,270,top,C0402
C29,34.80,18.80,270,top,C0402
C30,18.80,30.73, 90,top,C0402
C31,23.88,30.73,270,top,C0402
C32,70.36, 8.38,270,top,C0603
C33,85.34, 8.89, 90,top,C0402
C34,80.01, 4.83,180,top,C0402
C35,80.01, 8.64,180,top,C0402
D1,51.05, 6.10,270,top,SOT23
D2,65.28, 5.84,  0,top,SOD123
D3,73.15,13.97,  0,top,RGB1616
D5,69.74,29.95,295,top,D0603
D6,76.57,29.92,245,top,D0603
D7,125.73,12.95,180,top,D0603
J1,15.05,32.51,270,top,USB_MICRO_A_RA
L1,65.79, 9.40,  0,top,NRG4026
L2,44.45,24.38,180,top,L0603
Q1,45.21,33.02,270,top,SOT23
Q2,49.28,29.97,270,top,SOT23
R1,100.58,27.94, 90,top,R0402
R2,82.80, 7.37,180,top,R0402
R3,40.39,36.07,180,top,R0402
R4,50.29,10.41,180,top,R0603
R5,103.38,17.02, 90,top,R0402
R6,35.56,36.32,  0,top,R0402
R7,46.23,30.23, 90,top,R0402
R8,44.20,30.23,270,top,R0402
R9,121.16,10.41, 90,top,R0402
R10,117.60,10.41, 90,top,R0402
R11,102.62,13.97,180,top,R0402
R12,97.28,25.40,180,top,R0402
R13,103.12, 9.14,270,top,R0402
R14,104.14, 9.14, 90,top,R0402
R15,59.94, 6.35,180,top,R0402
R16,87.63,16.00,270,top,R0402
R17,74.42,16.00,180,top,R0402
R18,71.88,16.00,  0,top,R0402
R19,70.61,13.97,270,top,R0402
R20,61.72,11.68,  0,top,R0402
R21,59.18,11.68,  0,top,R0402
R22,67.82,16.00,270,top,R0402
R23,119.63,10.41, 90,top,R0402
R24,125.98,14.22,  0,top,R0402
R25,53.34,25.91,180,top,R0402
R26,82.80,11.18,180,top,R0402
R27,48.51,25.40, 90,top,R0402
R28,45.97,17.27, 90,top,R0402
R29,56.13,17.02,180,top,R0402
R30,54.36,14.99,270,top,R0402
R31,53.34,21.59,  0,top,R0402
R32,54.61,19.05,180,top,R0402
R33,53.34,22.86,  0,top,R0402
R34,56.64,18.54, 90,top,R0402
R35,56.13,15.49,  0,top,R0402
R36,53.34,20.32,  0,top,R0402
R37,42.67,18.54,180,top,R0402
R38,43.43,17.53,180,top,R0402
R39,43.43,21.08,180,top,R0402
R40,43.43,13.97,180,top,R0402
R41,43.43,12.70,180,top,R0402
R42,42.67,20.07,180,top,R0402
R43,59.69, 4.83,  0,top,R0603
R44,72.64, 5.59,  0,top,R0603
R45,85.60,24.64,  0,top,R0402
R46,85.60,26.67,  0,top,R0402
R47,40.39,35.05,180,top,R0402
S1,82.04,16.00,  0,top,SM6MM
S2,63.50,16.00,  0,top,SM6MM
S3,91.44,25.15, 90,top,SM6MM
U1,82.80, 5.59,180,top,DCK6
U2,113.79,21.65,  0,top,MODULE_ESP32WROOM32D
U3,29.72,33.02,270,top,SSOP20
U4,54.36, 9.14,180,top,SOT23
U5,60.45, 8.89,180,top,SOT23_6
U6,49.53,19.30, 90,top,QFN50P400X400X100-25N
U7,82.80, 9.40,180,top,DCK6
X2,21.34,30.73,  0,top,3.2X2.5_4P
